Name,B2,B6,B7,B9,B10,B11,B14,B15,BRBR
SZEY-40A_GL0027531,0,0,0,0,0,1,0,1,0
344609.SbBS512_E4840,0,0,0,0,0,1,1,1,0
SZEY-68A_GL0074034,0,0,0,0,0,1,1,1,0
MH0014_GL0051205,0,0,0,0,0,1,0,1,0
V1.UC21-4_GL0171651,0,0,0,0,0,1,0,1,0
670888.EC182770_3897,0,0,0,0,0,1,0,1,0
1045856.EcWSU1_01268,0,0,0,0,0,1,0,1,0
MH0014_GL0090883,0,0,0,0,0,1,1,1,0
V1.CD12-3_GL0042276,0,0,0,0,0,1,1,1,0
V1.CD3-0-PT_GL0064204,0,0,0,0,0,1,0,1,0
NLM027_GL0013245,0,0,0,0,0,1,0,1,0
MH0093_GL0006187,0,0,0,0,0,1,1,1,0
V1.UC33-0_GL0166019,0,0,0,0,0,1,1,1,0
MH0238_GL0152293,0,0,0,0,0,1,0,0,0
N085A_GL0043308,0,0,0,0,0,1,1,1,0
V1.CD41-0_GL0112566,0,0,0,0,0,1,0,1,0
585054.EFER_3488,0,0,0,0,0,1,1,1,0
V1.CD53-0_GL0070419,0,0,0,0,0,1,0,1,0
MH0014_GL0111040,0,0,0,0,0,1,0,1,0
MH0260_GL0008681,0,0,0,0,0,1,0,1,0
NLM027_GL0015368,0,0,0,0,0,1,1,1,0
N062A_GL0001728,0,0,0,0,0,1,0,0,0
V1.UC39-4_GL0117865,0,0,0,0,0,1,0,0,0
T2D-108A_GL0186653,0,0,0,0,0,1,0,1,0
V1.CD3-0-PT_GL0033434,0,0,0,0,0,1,0,1,0
469595.CSAG_03217,0,0,0,0,0,1,0,0,0
O2.UC38-0_GL0029569,0,0,0,0,0,1,0,1,0
T2D-10A_GL0052065,0,0,0,0,0,1,1,1,0
NLM027_GL0010330,0,0,0,0,0,1,1,1,0
926026.ECO5101_21102,0,0,0,0,0,1,0,0,0
469595.CSAG_02141,0,0,0,0,0,1,0,1,0
SZEY-48A_GL0076491,0,0,0,0,0,1,0,0,0
469613.HMPREF0864_03509,0,0,0,0,0,1,0,1,0
373384.SFV_0152,0,0,0,0,0,1,1,1,0
SZEY-93A_GL0037067,0,0,0,0,0,1,0,1,0
199310.c2321,0,0,0,0,0,1,1,0,1
469613.HMPREF0864_03523,0,0,0,0,0,1,0,0,0
DOF008_GL0020777,0,0,0,0,0,1,0,1,0
NOM009_GL0077930,0,0,0,0,0,1,0,0,0
MH0179_GL0011561,0,0,0,0,0,1,0,0,0
199310.c0426,0,0,0,0,0,1,0,0,0
NLM027_GL0088357,0,0,0,0,0,1,0,0,0
NLM027_GL0035026,0,0,0,0,0,1,0,1,0
290338.CKO_02431,0,0,0,0,0,1,0,1,0
MH0415_GL0126448,0,0,0,0,0,1,1,0,0
MH0221_GL0061395,0,0,0,0,0,0,1,1,0
O2.UC26-0_GL0079287,0,0,0,0,0,0,1,0,1
O2.UC26-0_GL0013263,0,0,0,0,0,0,1,0,0
199310.c1707,0,0,0,0,0,0,1,0,0
MH0247_GL0084290,0,0,0,0,0,0,1,0,0
MH0260_GL0026021,0,0,0,0,0,0,1,0,0
V1.CD51-0_GL0119846,0,0,0,0,0,0,1,0,0
MH0188_GL0054470,0,0,0,0,0,0,1,0,0
585057.ECIAI39_3171,0,0,0,0,0,0,1,0,0
199310.c2071,0,0,0,0,0,0,1,1,0
MH0113_GL0044190,0,0,0,0,0,0,1,0,0
MH0301_GL0152303,0,0,0,0,0,0,1,0,0
NOF013_GL0053862,0,0,0,0,0,0,1,0,0
MH0108_GL0011167,0,0,0,0,0,0,1,0,0
MH0113_GL0052171,0,0,0,0,0,0,1,0,0
MH0089_GL0005494,0,0,0,0,0,0,1,0,1
V1.CD3-3-PN_GL0045285,0,0,0,0,0,0,1,0,0
MH0012_GL0068496,0,0,0,0,0,0,1,0,0
O2.UC48-2_GL0067596,0,0,0,0,0,0,1,0,0
411464.DESPIG_02773,0,0,0,0,0,0,1,0,0
MH0006_GL0176047,0,0,0,0,0,0,1,0,0
